task_index,task,feature_index,interval,x,ale
0,task_1,0,0,0.24732312560081482,-1.4982050657272339
0,task_1,0,1,0.27908656001091003,-1.3721812963485718
0,task_1,0,2,0.29977840185165405,-1.2962411642074585
0,task_1,0,3,0.3275168240070343,-1.1921098232269287
0,task_1,0,4,0.35778486728668213,-1.076557993888855
0,task_1,0,5,0.37991392612457275,-0.995764434337616
0,task_1,0,6,0.40406087040901184,-0.9098159074783325
0,task_1,0,7,0.42702603340148926,-0.8272591829299927
0,task_1,0,8,0.4553314745426178,-0.7247189283370972
0,task_1,0,9,0.47706058621406555,-0.6455685496330261
0,task_1,0,10,0.5033626556396484,-0.5513160228729248
0,task_1,0,11,0.5256310701370239,-0.4714950919151306
0,task_1,0,12,0.5516706109046936,-0.37815260887145996
0,task_1,0,13,0.5825814604759216,-0.26751264929771423
0,task_1,0,14,0.6111065745353699,-0.16851721704006195
0,task_1,0,15,0.6381914615631104,-0.07901787757873535
0,task_1,0,16,0.6652488112449646,0.007002443075180054
0,task_1,0,17,0.7024582624435425,0.12479768693447113
0,task_1,0,18,0.7314826250076294,0.21687956154346466
0,task_1,0,19,0.7739521861076355,0.3521610498428345
0,task_1,0,20,0.8140138387680054,0.4795786738395691
0,task_1,0,21,0.8543573617935181,0.60638827085495
0,task_1,0,22,0.896519660949707,0.741156816482544
0,task_1,0,23,0.9451601505279541,0.8938540816307068
0,task_1,0,24,0.994948148727417,1.0495834350585938
0,task_1,0,25,1.0485804080963135,1.2176085710525513
0,task_1,0,26,1.0988249778747559,1.3766981363296509
0,task_1,0,27,1.1634933948516846,1.5783751010894775
0,task_1,0,28,1.2300817966461182,1.7863277196884155
0,task_1,0,29,1.3028806447982788,2.0240182876586914
0,task_1,1,0,0.25823765993118286,-1.152274250984192
0,task_1,1,1,0.2996249794960022,-1.0905587673187256
0,task_1,1,2,0.3277009129524231,-1.0499796867370605
0,task_1,1,3,0.37317517399787903,-0.9863916039466858
0,task_1,1,4,0.4099525213241577,-0.9385338425636292
0,task_1,1,5,0.453602135181427,-0.884133517742157
0,task_1,1,6,0.4834824204444885,-0.8483896851539612
0,task_1,1,7,0.5309481620788574,-0.7928740382194519
0,task_1,1,8,0.571801483631134,-0.7458776235580444
0,task_1,1,9,0.6170896291732788,-0.6939443349838257
0,task_1,1,10,0.6670593619346619,-0.6367117166519165
0,task_1,1,11,0.7253848910331726,-0.5699043869972229
0,task_1,1,12,0.7886276841163635,-0.4974500834941864
0,task_1,1,13,0.8505376577377319,-0.4257155656814575
0,task_1,1,14,0.9093487858772278,-0.35663190484046936
0,task_1,1,15,0.992676317691803,-0.25853025913238525
0,task_1,1,16,1.0801007747650146,-0.1562068909406662
0,task_1,1,17,1.1581413745880127,-0.06504370272159576
0,task_1,1,18,1.2568676471710205,0.049643293023109436
0,task_1,1,19,1.377512812614441,0.1905885636806488
0,task_1,1,20,1.4893715381622314,0.3205545246601105
0,task_1,1,21,1.6105116605758667,0.4619064927101135
0,task_1,1,22,1.7498153448104858,0.6238865256309509
0,task_1,1,23,1.9099910259246826,0.8101531267166138
0,task_1,1,24,2.0602269172668457,0.9857079982757568
0,task_1,1,25,2.21858811378479,1.1689614057540894
0,task_1,1,26,2.4002771377563477,1.3800992965698242
0,task_1,1,27,2.5880162715911865,1.597898244857788
0,task_1,1,28,2.7980406284332275,1.841160535812378
0,task_1,1,29,3.577972650527954,2.7185914516448975
0,task_1,2,0,0.10486434400081635,-0.5680491328239441
0,task_1,2,1,0.1118726134300232,-0.5776776671409607
0,task_1,2,2,0.11811482906341553,-0.5855658054351807
0,task_1,2,3,0.12423552572727203,-0.595007598400116
0,task_1,2,4,0.1304263472557068,-0.6012514233589172
0,task_1,2,5,0.13632294535636902,-0.6078788638114929
0,task_1,2,6,0.14186009764671326,-0.6151854395866394
0,task_1,2,7,0.14870473742485046,-0.6228854060173035
0,task_1,2,8,0.1561756134033203,-0.6313554644584656
0,task_1,2,9,0.16309945285320282,-0.6375559568405151
0,task_1,2,10,0.17406456172466278,-0.6291784644126892
0,task_1,2,11,0.18450047075748444,-0.5912561416625977
0,task_1,2,12,0.19656452536582947,-0.5134409666061401
0,task_1,2,13,0.20607037842273712,-0.43692901730537415
0,task_1,2,14,0.21910050511360168,-0.34141653776168823
0,task_1,2,15,0.23479612171649933,-0.21909669041633606
0,task_1,2,16,0.2451188713312149,-0.1467481404542923
0,task_1,2,17,0.25920554995536804,-0.057768918573856354
0,task_1,2,18,0.273089200258255,0.0387432835996151
0,task_1,2,19,0.28627052903175354,0.12272249162197113
0,task_1,2,20,0.30094191431999207,0.20537006855010986
0,task_1,2,21,0.3122391998767853,0.2718512713909149
0,task_1,2,22,0.3271079659461975,0.3377048075199127
0,task_1,2,23,0.33622556924819946,0.3820892870426178
0,task_1,2,24,0.3477119505405426,0.43485933542251587
0,task_1,2,25,0.3551461696624756,0.4784553050994873
0,task_1,2,26,0.36636900901794434,0.5501074194908142
0,task_1,2,27,0.380475252866745,0.6498247385025024
0,task_1,2,28,0.40567904710769653,0.8482319712638855
0,task_1,2,29,0.8063868284225464,4.6582865715026855
0,task_1,3,0,0.03070656582713127,-1.0747053623199463
0,task_1,3,1,0.05352482944726944,-1.03873610496521
0,task_1,3,2,0.08302812278270721,-0.9911344051361084
0,task_1,3,3,0.10734479874372482,-0.9524909853935242
0,task_1,3,4,0.13030172884464264,-0.915923535823822
0,task_1,3,5,0.1542309820652008,-0.8793238401412964
0,task_1,3,6,0.178694486618042,-0.8424601554870605
0,task_1,3,7,0.2101801335811615,-0.7948841452598572
0,task_1,3,8,0.2413008213043213,-0.7476101517677307
0,task_1,3,9,0.26970505714416504,-0.7043310403823853
0,task_1,3,10,0.3098623752593994,-0.6434021592140198
0,task_1,3,11,0.3490925431251526,-0.5835025906562805
0,task_1,3,12,0.39210885763168335,-0.5179964303970337
0,task_1,3,13,0.44343292713165283,-0.4401722550392151
0,task_1,3,14,0.4915422201156616,-0.3676336705684662
0,task_1,3,15,0.5418227910995483,-0.29180845618247986
0,task_1,3,16,0.6152746677398682,-0.18122924864292145
0,task_1,3,17,0.6811255216598511,-0.08181004971265793
0,task_1,3,18,0.7599165439605713,0.03602536767721176
0,task_1,3,19,0.8483506441116333,0.1670808345079422
0,task_1,3,20,0.9445835947990417,0.30642271041870117
0,task_1,3,21,1.0440648794174194,0.4510284960269928
0,task_1,3,22,1.1369484663009644,0.5857743620872498
0,task_1,3,23,1.2621948719024658,0.7674545645713806
0,task_1,3,24,1.3852072954177856,0.9463090896606445
0,task_1,3,25,1.519503116607666,1.141783595085144
0,task_1,3,26,1.6687992811203003,1.3594138622283936
0,task_1,3,27,1.8253346681594849,1.5879755020141602
0,task_1,3,28,1.9979770183563232,1.8403191566467285
0,task_1,3,29,2.7132771015167236,2.8595645427703857
0,task_1,4,0,2.4131715297698975,0.0
0,task_1,4,1,2.4131715297698975,0.0
0,task_1,4,2,2.4131715297698975,0.0
0,task_1,4,3,2.4131715297698975,0.0
0,task_1,4,4,2.4131715297698975,0.0
0,task_1,4,5,2.4131715297698975,0.0
0,task_1,4,6,2.4131715297698975,0.0
0,task_1,4,7,2.4131715297698975,0.0
0,task_1,4,8,2.4131715297698975,0.0
0,task_1,4,9,2.4131715297698975,0.0
0,task_1,4,10,2.4131715297698975,0.0
0,task_1,4,11,2.4131715297698975,0.0
0,task_1,4,12,2.4131715297698975,0.0
0,task_1,4,13,2.4131715297698975,0.0
0,task_1,4,14,2.4131715297698975,0.0
0,task_1,4,15,2.4131715297698975,0.0
0,task_1,4,16,2.4131715297698975,0.0
0,task_1,4,17,2.4131715297698975,0.0
0,task_1,4,18,2.4131715297698975,0.0
0,task_1,4,19,2.4131715297698975,0.0
0,task_1,4,20,2.4131715297698975,0.0
0,task_1,4,21,2.4131715297698975,0.0
0,task_1,4,22,2.4131715297698975,0.0
0,task_1,4,23,2.4131715297698975,0.0
0,task_1,4,24,2.4131715297698975,0.0
0,task_1,4,25,2.4131715297698975,0.0
0,task_1,4,26,2.4131715297698975,0.0
0,task_1,4,27,2.4131715297698975,0.0
0,task_1,4,28,2.4131715297698975,0.0
0,task_1,4,29,2.4131715297698975,0.0
0,task_1,5,0,0.10061788558959961,-1.2377077341079712
0,task_1,5,1,0.1284368336200714,-1.1767528057098389
0,task_1,5,2,0.15641245245933533,-1.1165378093719482
0,task_1,5,3,0.1834566593170166,-1.0644553899765015
0,task_1,5,4,0.21935364603996277,-0.9945844411849976
0,task_1,5,5,0.24294418096542358,-0.9489639401435852
0,task_1,5,6,0.27068865299224854,-0.8967943787574768
0,task_1,5,7,0.3080121874809265,-0.8281968832015991
0,task_1,5,8,0.3361196219921112,-0.7781668901443481
0,task_1,5,9,0.37560778856277466,-0.7083099484443665
0,task_1,5,10,0.4174409508705139,-0.6346791386604309
0,task_1,5,11,0.4591149687767029,-0.5627161264419556
0,task_1,5,12,0.5102932453155518,-0.47659286856651306
0,task_1,5,13,0.5617023706436157,-0.38950780034065247
0,task_1,5,14,0.6070388555526733,-0.3113018870353699
0,task_1,5,15,0.6644281148910522,-0.2152426689863205
0,task_1,5,16,0.7338016033172607,-0.10336955636739731
0,task_1,5,17,0.8034789562225342,0.005459131672978401
0,task_1,5,18,0.8684805631637573,0.10616899281740189
0,task_1,5,19,0.9602011442184448,0.2498755156993866
0,task_1,5,20,1.0543018579483032,0.39711621403694153
0,task_1,5,21,1.1399822235107422,0.531395435333252
0,task_1,5,22,1.240466833114624,0.6877337694168091
0,task_1,5,23,1.3628309965133667,0.8797947764396667
0,task_1,5,24,1.48036527633667,1.0645525455474854
0,task_1,5,25,1.6003193855285645,1.2533656358718872
0,task_1,5,26,1.7376278638839722,1.4694679975509644
0,task_1,5,27,1.869888424873352,1.678096055984497
0,task_1,5,28,2.0315659046173096,1.9317020177841187
0,task_1,5,29,2.192269802093506,2.1891517639160156
0,task_1,6,0,0.3488592505455017,-1.2246662378311157
0,task_1,6,1,0.35623711347579956,-1.193564534187317
0,task_1,6,2,0.36183393001556396,-1.1684335470199585
0,task_1,6,3,0.36835938692092896,-1.126145839691162
0,task_1,6,4,0.3777626156806946,-1.034509301185608
0,task_1,6,5,0.3882426917552948,-0.9152201414108276
0,task_1,6,6,0.39519914984703064,-0.8348110318183899
0,task_1,6,7,0.40449947118759155,-0.706078290939331
0,task_1,6,8,0.4134700298309326,-0.576431155204773
0,task_1,6,9,0.4215002954006195,-0.4595160484313965
0,task_1,6,10,0.4287188649177551,-0.3567332625389099
0,task_1,6,11,0.43315115571022034,-0.288589745759964
0,task_1,6,12,0.4409063160419464,-0.17488843202590942
0,task_1,6,13,0.4459419548511505,-0.0990653932094574
0,task_1,6,14,0.4510456919670105,-0.020921843126416206
0,task_1,6,15,0.45784497261047363,0.08060217648744583
0,task_1,6,16,0.4617903530597687,0.13899673521518707
0,task_1,6,17,0.4662740230560303,0.2063603699207306
0,task_1,6,18,0.4712740480899811,0.2803243398666382
0,task_1,6,19,0.4745141565799713,0.3262152671813965
0,task_1,6,20,0.4782421588897705,0.3815368711948395
0,task_1,6,21,0.48166826367378235,0.432460755109787
0,task_1,6,22,0.4857323467731476,0.4899417459964752
0,task_1,6,23,0.4878369867801666,0.5218296647071838
0,task_1,6,24,0.49017563462257385,0.5557565689086914
0,task_1,6,25,0.4933261573314667,0.6018880009651184
