dataset,combo_index,lr,l2,keep,update,selection_metric,selection_value
polynomial,50,0.001,0.001,3,10,val_rmse_mean,2.867935180217028
multisine,41,0.01,0.01,1,10,val_rmse_mean,0.4556894467771054
