rank,dataset,method,combo_index,combo_tag,sweep__similarity__update_every,sweep__similarity__keep_epochs,sweep__regularization__l2,sweep__optim__lr,seed_mean,seed_std,seed_n,best_epoch_mean,best_epoch_std,best_epoch_n,best_test_loss_mean,best_test_loss_std,best_test_loss_n,time_train_mean,time_train_std,time_train_n,time_validation_mean,time_validation_std,time_validation_n,time_test_mean,time_test_std,time_test_n,time_ale_mean,time_ale_std,time_ale_n,time_similarity_mean,time_similarity_std,time_similarity_n,total_time_mean,total_time_std,total_time_n,train_loss_mean,train_loss_std,train_loss_n,train_rmse_mean,train_rmse_std,train_rmse_n,train_mae_mean,train_mae_std,train_mae_n,train_mape_mean,train_mape_std,train_mape_n,val_loss_mean,val_loss_std,val_loss_n,val_rmse_mean,val_rmse_std,val_rmse_n,val_mae_mean,val_mae_std,val_mae_n,val_mape_mean,val_mape_std,val_mape_n,test_loss_mean,test_loss_std,test_loss_n,test_rmse_mean,test_rmse_std,test_rmse_n,test_mae_mean,test_mae_std,test_mae_n,test_mape_mean,test_mape_std,test_mape_n
1,polynomial,ale_frechet,50,optim-lr_1e-3__regularization-l2_0.001__similarity-keep_epochs_3__similarity-update_every_10,10.0,3.0,0.001,0.001,4.5,3.027650354097492,10,13.8,14.512829573250771,10,4.686036443710327,0.849251774502106,10,3.604591059684753,1.244525986348552,10,0.2632056713104248,0.0957803222664285,10,0.009100317955017,0.0017426826334347,10,1.589506888389587,0.5698331317331361,10,0.3411375999450683,0.1176563013327367,10,5.807541537284851,2.0203302161052985,10,2.030755295753479,0.2465272020529432,10,2.030755295753479,0.2465272020529432,10,1.4376976615190509,0.2440073383526501,10,0.6702690094709396,0.1810079202413958,10,2.867935180217028,0.502967019783434,10,2.867935180217028,0.502967019783434,10,2.8389239171892404,0.5006230969996204,10,0.6100825558230282,0.164000366834411,10,4.685977236777544,0.849277160554879,10,4.685977236777544,0.849277160554879,10,4.648024610057473,0.8455802047276839,10,0.6127218608558179,0.1612334992332346,10
2,polynomial,ale_frechet,56,optim-lr_1e-3__regularization-l2_0.001__similarity-keep_epochs_5__similarity-update_every_10,10.0,5.0,0.001,0.001,4.5,3.027650354097492,10,12.2,10.108302418199496,10,4.690873432159424,0.8483329045146778,10,3.5322571754455567,0.8811728113826339,10,0.2592214584350586,0.0685535255565574,10,0.0089526653289794,0.000665372134025,10,1.530775046348572,0.4522373752972122,10,0.3285563945770263,0.0966606480044475,10,5.659762740135193,1.4927133258626444,10,2.031070139408112,0.246381321880783,10,2.031070139408112,0.246381321880783,10,1.437147951722145,0.2444834248549101,10,0.6756575846672058,0.182397775264038,10,2.869244626685977,0.5022565433264208,10,2.869244626685977,0.5022565433264208,10,2.840208952352405,0.4999033845696318,10,0.6131475331634283,0.1673567590294969,10,4.69083474189043,0.8483299853817812,10,4.69083474189043,0.8483299853817812,10,4.653053186610341,0.8445738384244833,10,0.6163208762928845,0.164591490518025,10
3,polynomial,ale_frechet,62,optim-lr_1e-3__regularization-l2_0.001__similarity-keep_epochs_10__similarity-update_every_10,10.0,10.0,0.001,0.001,4.5,3.027650354097492,10,11.3,8.756584823878415,10,4.692775821685791,0.8469639297225748,10,3.666643595695496,0.8648549554065328,10,0.2733687877655029,0.0731204575260094,10,0.0092100620269775,0.0001899876063038,10,1.4539087057113649,0.3473521963759509,10,0.3091088533401489,0.0717129164044055,10,5.71224000453949,1.3452276935873162,10,2.030379912853241,0.2467187090706925,10,2.030379912853241,0.2467187090706925,10,1.4367816269397735,0.2445704357002612,10,0.671807837486267,0.1821768913013264,10,2.870035810470581,0.5017647435989123,10,2.870035810470581,0.5017647435989123,10,2.8409754209965468,0.4994307010111334,10,0.6131393306702375,0.1667854733644141,10,4.692717731297016,0.8469937523062283,10,4.692717731297016,0.8469937523062283,10,4.654911931827664,0.8432537041569218,10,0.6162113259732724,0.1638419884657248,10
4,polynomial,ale_frechet,48,optim-lr_1e-3__regularization-l2_0.01__similarity-keep_epochs_3__similarity-update_every_10,10.0,3.0,0.01,0.001,4.5,3.027650354097492,10,10.2,9.077444574328174,10,4.68635926246643,0.8509790576701064,10,3.2839651107788086,0.7781814437122384,10,0.2377485513687133,0.0602392743594994,10,0.0084634780883789,0.0004146398371182,10,1.4201165437698364,0.3317918533276452,10,0.2985390424728393,0.0664618172404851,10,5.248832726478577,1.2263951038463987,10,2.0304523849487306,0.24668201663038,10,2.0304523849487306,0.24668201663038,10,1.4390724474191663,0.2433093498079152,10,0.6838055849075317,0.1841506912384092,10,2.871514440998435,0.5007860873500061,10,2.871514440998435,0.5007860873500061,10,2.8425154060125357,0.4984146946274659,10,0.6081593070924282,0.1679574507783506,10,4.686302746236324,0.8509932108310448,10,4.686302746236324,0.8509932108310448,10,4.6481172195822005,0.8474850134567387,10,0.609080508723855,0.1662969645597552,10
5,polynomial,ale_frechet,54,optim-lr_1e-3__regularization-l2_0.01__similarity-keep_epochs_5__similarity-update_every_10,10.0,5.0,0.01,0.001,4.5,3.027650354097492,10,14.0,24.04625172916191,10,4.701515197753906,0.8395234832878115,10,3.71472761631012,2.1608005591342585,10,0.2756139755249023,0.166692157961696,10,0.0088770627975463,0.0008888342224936,10,1.589983916282654,0.9619269234267124,10,0.3397200584411621,0.2039358282797259,10,5.928922629356384,3.4898407595527345,10,2.031734340190888,0.246086776087601,10,2.031734340190888,0.246086776087601,10,1.4394145900011064,0.2435368821816277,10,0.6623215496540069,0.1841311091548669,10,2.874548430889845,0.4991518859879454,10,2.874548430889845,0.4991518859879454,10,2.845415783300996,0.4968253008499336,10,0.599884142279625,0.1616562716644073,10,4.70147564291954,0.8395538651733365,10,4.70147564291954,0.8395538651733365,10,4.663635417595506,0.8357641816162467,10,0.6024303698725999,0.1597182424759438,10
6,polynomial,ale_frechet,60,optim-lr_1e-3__regularization-l2_0.01__similarity-keep_epochs_10__similarity-update_every_10,10.0,10.0,0.01,0.001,4.5,3.027650354097492,10,14.1,24.36048713251304,10,4.701349925994873,0.83959936623346,10,3.906120777130127,2.3664826788849305,10,0.28972909450531,0.1865537759200094,10,0.0092437744140625,0.0002381726904338,10,1.576337480545044,0.947736151970352,10,0.3328371524810791,0.1965085765133079,10,6.114268279075622,3.6944711204586738,10,2.0317211210727693,0.2460937079324539,10,2.0317211210727693,0.2460937079324539,10,1.4392899978160858,0.2436138663750197,10,0.6619464951753616,0.1843256652409286,10,2.874770850986242,0.4990300804468263,10,2.874770850986242,0.4990300804468263,10,2.8456583888083697,0.4966916671854969,10,0.6003911813348533,0.1616122576861904,10,4.701311395764351,0.8396292823759686,10,4.701311395764351,0.8396292823759686,10,4.66350013948977,0.835826228835045,10,0.6028592001087965,0.1597400721594671,10
7,polynomial,ale_frechet,52,optim-lr_1e-3__regularization-l2_0.1__similarity-keep_epochs_5__similarity-update_every_10,10.0,5.0,0.1,0.001,4.5,3.027650354097492,10,26.6,63.79515829765,10,4.708382844924927,0.8366528794159336,10,4.842336297035217,5.69416547165522,10,0.3579484462738037,0.4368075154790612,10,0.0089847326278686,0.0006637211175011,10,2.1489723920822144,2.755334839379533,10,0.45238778591156,0.5708066189091888,10,7.810629653930664,9.456327628229609,10,2.031606591939926,0.2461540537691728,10,2.031606591939926,0.2461540537691728,10,1.4391656148433687,0.243691332439862,10,0.6615421801805497,0.1845437079650388,10,2.8761825449764733,0.4982794387795716,10,2.8761825449764733,0.4982794387795716,10,2.8468491397053004,0.4960524512734836,10,0.6006611542403698,0.1615953083503908,10,4.7083420163393015,0.8366834940208422,10,4.7083420163393015,0.8366834940208422,10,4.670394541397691,0.8329379074059099,10,0.603869563806802,0.1598369868562084,10
8,polynomial,ale_frechet,46,optim-lr_1e-3__regularization-l2_0.1__similarity-keep_epochs_3__similarity-update_every_10,10.0,3.0,0.1,0.001,4.5,3.027650354097492,10,18.1,36.9577837238352,10,4.711063432693481,0.8356828976096881,10,3.941127800941467,3.1774350018174213,10,0.2912221193313599,0.2475729930123531,10,0.0085122823715209,0.0006584736770577,10,1.7474966526031497,1.4835118522120645,10,0.3707150459289551,0.3035650166318858,10,6.359073901176453,5.210604216637589,10,2.0318751549720764,0.246013364306612,10,2.0318751549720764,0.246013364306612,10,1.4391614538431168,0.2436939344710833,10,0.6620226562023163,0.1842855563952307,10,2.8775219081342223,0.4976032362790229,10,2.8775219081342223,0.4976032362790229,10,2.8482385594397788,0.4953417314356804,10,0.6010307473689318,0.1615794166230739,10,4.711034697890281,0.8357091845442577,10,4.711034697890281,0.8357091845442577,10,4.673067045584321,0.8319692699703845,10,0.6043240730650723,0.1599013848861595,10
9,polynomial,ale_frechet,58,optim-lr_1e-3__regularization-l2_0.1__similarity-keep_epochs_10__similarity-update_every_10,10.0,10.0,0.1,0.001,4.5,3.027650354097492,10,23.4,53.68674572617217,10,4.712932825088501,0.8350567137394289,10,4.827674508094788,5.169196380309288,10,0.3606572389602661,0.4004031506066401,10,0.0093725442886352,0.0002313999684445,10,2.0095100879669188,2.2892004118045746,10,0.4245607376098633,0.4750790139603374,10,7.631775116920471,8.33269188203346,10,2.0318593263626097,0.2460215772125653,10,2.0318593263626097,0.2460215772125653,10,1.4391223293542863,0.2437184338821441,10,0.6617950254678726,0.1844063430029028,10,2.877985022217036,0.4973776021976024,10,2.877985022217036,0.4973776021976024,10,2.8486171249300245,0.4951546682462212,10,0.6014032603800297,0.161571952824036,10,4.712871150374412,0.835093839147515,10,4.712871150374412,0.835093839147515,10,4.67488174714148,0.8313598710069876,10,0.6049131925590336,0.1600040307136203,10
10,polynomial,ale_frechet,11,optim-lr_1e-2__regularization-l2_0.01__similarity-keep_epochs_1__similarity-update_every_3,3.0,1.0,0.01,0.01,4.5,3.027650354097492,10,10.6,11.843422928641308,10,4.755131006240845,0.8251398170277585,10,3.4323262691497805,1.0143313114217691,10,0.2517431974411011,0.0810754732017995,10,0.0118026733398437,0.0077232545754222,10,1.384426975250244,0.5509276518148402,10,1.1056803226470948,0.3492245311360802,10,6.185979437828064,1.9911566352686056,10,2.028815723657608,0.1695351357126679,10,2.028815723657608,0.1695351357126679,10,1.465497056245804,0.1898425548217639,10,2.111386162787676,1.5344848137916374,10,2.8780930516123773,0.5018731233366392,10,2.8780930516123773,0.5018731233366392,10,2.847521733939648,0.5002759460474353,10,0.928446518406272,0.7046661524115364,10,4.755145053267479,0.8251355347901601,10,4.755145053267479,0.8251355347901601,10,4.71565713107586,0.8223877022765653,10,1.0879135552793744,0.8109911892206793,10
