figure,dataset,run_tag,metrics_path,ale_epoch,similarity_epoch,ale_shape,similarity_shape,features_plotted,pdf,png
multisine_interpretability,multisine,multisine__ale_frechet__combo_029__seed_9__optim-lr_1e-2__regularization-l2_0.01__similarity-keep_epochs_3__similarity-update_every_5,results/ale_frechet/multisine__ale_frechet__combo_029__seed_9__optim-lr_1e-2__regularization-l2_0.01__similarity-keep_epochs_3__similarity-update_every_5/metrics.pth,69,69,"(5, 128, 30, 2)","(5, 5, 128)","125,123,69",paper/figures/interpretability/multisine_interpretability.pdf,paper/figures/interpretability/multisine_interpretability.png
electricity_similarity_structure,electricity,electricity__ale_frechet__combo_004__seed_0__optim-lr_1e-3__regularization-l2_0.01__similarity-keep_epochs_10__similarity-update_every_10,results/ale_frechet/electricity__ale_frechet__combo_004__seed_0__optim-lr_1e-3__regularization-l2_0.01__similarity-keep_epochs_10__similarity-update_every_10/metrics.pth,,179,,"(50, 50, 128)",,paper/figures/interpretability/electricity_similarity_structure.pdf,paper/figures/interpretability/electricity_similarity_structure.png
