task_index,task,feature_index,interval,x,ale
0,task_1,0,0,0.0,2.331294059753418
0,task_1,0,1,0.03904642537236214,1.9783028364181519
0,task_1,0,2,0.07077282667160034,1.6745445728302002
0,task_1,0,3,0.09369717538356781,1.4909321069717407
0,task_1,0,4,0.12005231529474258,1.2635771036148071
0,task_1,0,5,0.14084550738334656,1.0887492895126343
0,task_1,0,6,0.16069602966308594,0.9142939448356628
0,task_1,0,7,0.18282778561115265,0.7131791114807129
0,task_1,0,8,0.2063368558883667,0.512397825717926
0,task_1,0,9,0.23040956258773804,0.32592451572418213
0,task_1,0,10,0.2544783353805542,0.14894366264343262
0,task_1,0,11,0.27415740489959717,0.011769043281674385
0,task_1,0,12,0.2929990291595459,-0.10825055092573166
0,task_1,0,13,0.31203556060791016,-0.24033373594284058
0,task_1,0,14,0.32810860872268677,-0.3351953327655792
0,task_1,0,15,0.345615416765213,-0.44470298290252686
0,task_1,0,16,0.363826721906662,-0.5454208254814148
0,task_1,0,17,0.3786299526691437,-0.621437668800354
0,task_1,0,18,0.39093151688575745,-0.6742258071899414
0,task_1,0,19,0.40347373485565186,-0.7234787940979004
0,task_1,0,20,0.4141494631767273,-0.7411084771156311
0,task_1,0,21,0.42499974370002747,-0.7733328342437744
0,task_1,0,22,0.43355196714401245,-0.7947366833686829
0,task_1,0,23,0.44058167934417725,-0.8295618891716003
0,task_1,0,24,0.44745394587516785,-0.8482003211975098
0,task_1,0,25,0.4544453024864197,-0.837519645690918
0,task_1,0,26,0.46237313747406006,-0.8444554805755615
0,task_1,0,27,0.4691495895385742,-0.8271520137786865
0,task_1,0,28,0.47943544387817383,-0.8040727376937866
0,task_1,0,29,0.6715680360794067,-1.460722804069519
0,task_1,1,0,0.0,0.18474526703357697
0,task_1,1,1,0.0,0.18474526703357697
0,task_1,1,2,0.0,0.18474526703357697
0,task_1,1,3,0.0,0.18474526703357697
0,task_1,1,4,0.0,0.18474526703357697
0,task_1,1,5,0.0,0.18474526703357697
0,task_1,1,6,0.0,0.18474526703357697
