dataset,best_update,best_keep,best_combo_index,test_rmse_mean,rel_rmse_pct_vs_update_1_keep_1,relative_speedup_vs_update_1_keep_1
multisine,3,1,12,0.4082024693489074,-1.9013143982915648,0.7722363674419926
polynomial,10,1,43,4.489506840705872,-2.0078181501450687,3.1773428294733694
