dataset,method,combo_index,combo_tag,sweep__similarity__update_every,sweep__similarity__keep_epochs,sweep__regularization__l2,sweep__optim__lr,seed_mean,seed_std,seed_n,best_epoch_mean,best_epoch_std,best_epoch_n,best_test_loss_mean,best_test_loss_std,best_test_loss_n,time_train_mean,time_train_std,time_train_n,time_validation_mean,time_validation_std,time_validation_n,time_test_mean,time_test_std,time_test_n,time_ale_mean,time_ale_std,time_ale_n,time_similarity_mean,time_similarity_std,time_similarity_n,total_time_mean,total_time_std,total_time_n,train_loss_mean,train_loss_std,train_loss_n,train_rmse_mean,train_rmse_std,train_rmse_n,train_mae_mean,train_mae_std,train_mae_n,train_mape_mean,train_mape_std,train_mape_n,val_loss_mean,val_loss_std,val_loss_n,val_rmse_mean,val_rmse_std,val_rmse_n,val_mae_mean,val_mae_std,val_mae_n,val_mape_mean,val_mape_std,val_mape_n,test_loss_mean,test_loss_std,test_loss_n,test_rmse_mean,test_rmse_std,test_rmse_n,test_mae_mean,test_mae_std,test_mae_n,test_mape_mean,test_mape_std,test_mape_n,update,keep,baseline_test_rmse_mean,baseline_test_mae_mean,baseline_total_time_mean,rel_rmse_pct,rel_mae_pct,relative_speedup
polynomial,ale_frechet,8,optim-lr_1e-3__regularization-l2_0.001__similarity-keep_epochs_1__similarity-update_every_1,1.0,1.0,0.001,0.001,1.5,1.2909944487358056,4,75.75,63.80373552282551,4,4.581445932388306,0.5617116345954485,4,7.075578331947327,4.326918552668211,4,0.5585513114929199,0.3536065058778296,4,0.0120109915733337,0.0055366816063617,4,2.187714517116546,1.4675422792776565,4,5.454653739929199,3.408802069266639,4,15.288508892059326,9.537595989413544,4,2.010980129241944,0.1402350628660906,4,2.010980129241944,0.1402350628660906,4,1.4324455559253693,0.1516399526378362,4,0.776391476392746,0.2820030123898325,4,2.7571144700050354,0.3022475959697285,4,2.7571144700050354,0.3022475959697285,4,2.726695477962494,0.2997993260922007,4,0.6144190728664398,0.0947697986145276,4,4.581494927406311,0.5617056219568435,4,4.581494927406311,0.5617056219568435,4,4.5431588888168335,0.5579258888202108,4,0.623626708984375,0.0859863787498922,4,1,1,4.581494927406311,4.5431588888168335,15.288508892059326,0.0,0.0,1.0
polynomial,ale_frechet,14,optim-lr_1e-3__regularization-l2_0.001__similarity-keep_epochs_1__similarity-update_every_3,3.0,1.0,0.001,0.001,1.5,1.2909944487358056,4,37.5,19.157244060668017,4,4.5696903467178345,0.5619735717594571,4,3.738865494728088,1.0337679955097878,4,0.2957742810249328,0.08539753921912,4,0.0050635933876037,0.0001086725683976,4,1.492455005645752,0.4137926050097811,4,1.208548665046692,0.36350420710463,4,6.740707039833069,1.887494757845375,4,1.9917536675930023,0.1475904330651661,4,1.9917536675930023,0.1475904330651661,4,1.3852324187755585,0.1438673203254847,4,0.6636361479759216,0.1109802201056203,4,2.75340348482132,0.304428025165768,4,2.75340348482132,0.304428025165768,4,2.723254382610321,0.3018536574090916,4,0.6121051162481308,0.0998331684436539,4,4.569709658622742,0.5619205640402006,4,4.569709658622742,0.5619205640402006,4,4.531652569770813,0.5574428051541512,4,0.6210522502660751,0.0906549080477548,4,3,1,4.581494927406311,4.5431588888168335,15.288508892059326,-0.2572363163182878,-0.25326693007245993,2.268086834469213
polynomial,ale_frechet,15,optim-lr_1e-2__regularization-l2_0.1__similarity-keep_epochs_3__similarity-update_every_3,3.0,3.0,0.1,0.01,1.5,1.2909944487358056,4,1.75,0.5,4,4.564912557601929,0.5797319475045012,4,1.9499072432518003,0.0790897851593242,4,0.1510586738586425,0.0072344077799368,4,0.0056764483451843,8.724521163045366e-05,4,0.4889995455741882,0.056070450078711,4,0.516095757484436,0.0389102387368312,4,3.111737668514252,0.1722064604525091,4,2.002423256635666,0.1407529204902665,4,2.002423256635666,0.1407529204902665,4,1.4212913811206818,0.1235512572606826,4,3.655767261981964,0.8762817687568109,4,2.789781391620636,0.2981599909052409,4,2.789781391620636,0.2981599909052409,4,2.762255072593689,0.2945954941391708,4,1.4753010869026184,0.4693863414081655,4,4.5649073123931885,0.579733262415361,4,4.5649073123931885,0.579733262415361,4,4.527948021888733,0.5759197788972668,4,1.7259793877601624,0.61264795846643,4,3,3,4.581494927406311,4.5431588888168335,15.288508892059326,-0.3620568237213573,-0.33480816542742486,4.91317409136197
polynomial,ale_frechet,23,optim-lr_1e-2__regularization-l2_0.01__similarity-keep_epochs_1__similarity-update_every_5,5.0,1.0,0.01,0.01,1.5,1.2909944487358056,4,25.5,27.19681353884434,4,4.532009124755859,0.5946331774259849,4,4.930210769176483,2.6933462263736065,4,0.2481966614723205,0.131736328170753,4,0.0156037807464599,0.0001566989976166,4,1.1024728417396543,0.6961470076794155,4,0.5677840113639832,0.3143846042026045,4,6.864268064498901,3.8334910643855498,4,1.993157118558884,0.1466626345331921,4,1.993157118558884,0.1466626345331921,4,1.3954063653945925,0.141515875346818,4,2.284009851515293,2.17817133558271,4,2.7446277141571045,0.3115869435457032,4,2.7446277141571045,0.3115869435457032,4,2.7155377864837646,0.3084468477767129,4,1.0079626813530922,1.01942627790529,4,4.531841158866882,0.594795949314961,4,4.531841158866882,0.594795949314961,4,4.493435025215149,0.5910163736562444,4,1.227673288434744,1.2637242787292642,4,5,1,4.581494927406311,4.5431588888168335,15.288508892059326,-1.0837896652990286,-1.0944777591662458,2.2272598838512003
polynomial,ale_frechet,32,optim-lr_1e-3__regularization-l2_0.001__similarity-keep_epochs_3__similarity-update_every_5,5.0,3.0,0.001,0.001,1.5,1.2909944487358056,4,33.5,27.982137159266443,4,4.564580678939819,0.5799180245275382,4,6.449401319026947,3.0050827321548117,4,0.3565911650657654,0.1737529504406066,4,0.0191462635993957,0.000291668819235,4,1.435849666595459,0.6441835491737874,4,0.6911769509315491,0.3203113099979666,4,8.952165365219116,4.141886219710771,4,1.9933549463748927,0.1465779155710305,4,1.9933549463748927,0.1465779155710305,4,1.3931709229946136,0.1387343144288216,4,0.6641297340393066,0.1036232188093104,4,2.7603188157081604,0.3031370672877109,4,2.7603188157081604,0.3031370672877109,4,2.730808794498444,0.3000799926922659,4,0.6003015339374542,0.1142123740803926,4,4.5646562576293945,0.5798643182490931,4,4.5646562576293945,0.5798643182490931,4,4.527175307273865,0.5758599058821411,4,0.6056939214468002,0.1097841157410615,4,5,3,4.581494927406311,4.5431588888168335,15.288508892059326,-0.36753658017142365,-0.35181647690801787,1.707800098449714
polynomial,ale_frechet,38,optim-lr_1e-3__regularization-l2_0.001__similarity-keep_epochs_5__similarity-update_every_5,5.0,5.0,0.001,0.001,1.5,1.2909944487358056,4,31.0,37.17526059088221,4,4.556739091873169,0.576248145769038,4,4.6500402092933655,1.2362460524002183,4,0.3532275557518005,0.1862206916087989,4,0.0184710025787353,0.0008471154261773,4,1.0230796337127686,0.4304398107296058,4,0.5063983798027039,0.2167100621875615,4,6.551216781139374,2.063872598906988,4,1.9940332472324367,0.146281713196147,4,1.9940332472324367,0.146281713196147,4,1.3958222568035126,0.1384787937978354,4,0.6696932464838028,0.1098311786880796,4,2.7575385570526123,0.3018721809620822,4,2.7575385570526123,0.3018721809620822,4,2.728235185146332,0.2989350886160226,4,0.5960162729024887,0.1084865052139971,4,4.556856393814087,0.5762441615051278,4,4.556856393814087,0.5762441615051278,4,4.5193164348602295,0.5719144868239665,4,0.6007709801197052,0.1025067683634929,4,5,5,4.581494927406311,4.5431588888168335,15.288508892059326,-0.5377837143251574,-0.5247990338901221,2.3336899697891513
polynomial,ale_frechet,43,optim-lr_1e-2__regularization-l2_0.001__similarity-keep_epochs_1__similarity-update_every_10,10.0,1.0,0.001,0.01,1.5,1.2909944487358056,4,12.0,10.099504938362076,4,4.489376425743103,0.6171509795719773,4,3.5341058373451237,0.9577131281285456,4,0.1715006232261657,0.0462681521780461,4,0.0157521963119506,0.0001824599072641,4,0.885246992111206,0.2572478088811579,4,0.205122172832489,0.0590508693090918,4,4.811727821826935,1.3199613686454048,4,1.9945632219314573,0.1489932587638725,4,1.9945632219314573,0.1489932587638725,4,1.3971913754940033,0.1503584833083084,4,5.361238121986389,4.081047939579716,4,2.7364924550056458,0.3149408121209493,4,2.7364924550056458,0.3149408121209493,4,2.707759201526642,0.3115285950362301,4,3.0685159265995026,2.269803842986601,4,4.489506840705872,0.6170873553473318,4,4.489506840705872,0.6170873553473318,4,4.451390147209168,0.6126487401162938,4,3.3957400918006897,2.354562356651089,4,10,1,4.581494927406311,4.5431588888168335,15.288508892059326,-2.0078181501450687,-2.019932471073327,3.1773428294733694
polynomial,ale_frechet,45,optim-lr_1e-2__regularization-l2_0.1__similarity-keep_epochs_3__similarity-update_every_10,10.0,3.0,0.1,0.01,1.5,1.2909944487358056,4,6.0,2.449489742783178,4,4.491544842720032,0.6214838253170727,4,2.6401323080062866,0.7525561344660779,4,0.1439771652221679,0.0204632614647608,4,0.0123886466026306,0.0058432957477221,4,0.6029906272888184,0.1297172980152712,4,0.1431920528411865,0.0279555485529268,4,3.54268079996109,0.8934975150662661,4,1.9947872459888456,0.1488526404134669,4,1.9947872459888456,0.1488526404134669,4,1.403177231550217,0.1476920865625273,4,3.786362648010254,0.9792973327032474,4,2.737162470817566,0.3162808090551359,4,2.737162470817566,0.3162808090551359,4,2.7084261178970337,0.3128623798691846,4,2.06667885184288,0.4825569975163452,4,4.491680979728699,0.6214316869179017,4,4.491680979728699,0.6214316869179017,4,4.453729152679443,0.617322578657728,4,2.430447399616241,0.656644861364398,4,10,3,4.581494927406311,4.5431588888168335,15.288508892059326,-1.9603633552085609,-1.9684483489566085,4.3155197307720305
polynomial,ale_frechet,51,optim-lr_1e-2__regularization-l2_0.1__similarity-keep_epochs_5__similarity-update_every_10,10.0,5.0,0.1,0.01,1.5,1.2909944487358056,4,6.0,2.449489742783178,4,4.491544842720032,0.6214838253170727,4,2.408675253391266,0.3099552264888158,4,0.1891478300094604,0.028805547015376,4,0.0152281522750854,0.0115444711936601,4,0.7078090310096741,0.1278781442478278,4,0.1633306741714477,0.0296340663143902,4,3.4841909408569336,0.1463403813356992,4,1.9947872459888456,0.1488526404134669,4,1.9947872459888456,0.1488526404134669,4,1.403177231550217,0.1476920865625273,4,3.786362648010254,0.9792973327032474,4,2.737162470817566,0.3162808090551359,4,2.737162470817566,0.3162808090551359,4,2.7084261178970337,0.3128623798691846,4,2.06667885184288,0.4825569975163452,4,4.491680979728699,0.6214316869179017,4,4.491680979728699,0.6214316869179017,4,4.453729152679443,0.617322578657728,4,2.430447399616241,0.656644861364398,4,10,5,4.581494927406311,4.5431588888168335,15.288508892059326,-1.9603633552085609,-1.9684483489566085,4.387965284215776
polynomial,ale_frechet,57,optim-lr_1e-2__regularization-l2_0.1__similarity-keep_epochs_10__similarity-update_every_10,10.0,10.0,0.1,0.01,1.5,1.2909944487358056,4,6.0,2.449489742783178,4,4.491544842720032,0.6214838253170727,4,2.249151647090912,0.1649366269791671,4,0.2068716883659362,0.026617434203691,4,0.0087324976921081,0.0053898112255833,4,0.6816774606704712,0.1132012060639279,4,0.1622444987297058,0.0291419137813671,4,3.3086777925491333,0.2964205973669047,4,1.9947872459888456,0.1488526404134669,4,1.9947872459888456,0.1488526404134669,4,1.403177231550217,0.1476920865625273,4,3.786362648010254,0.9792973327032474,4,2.737162470817566,0.3162808090551359,4,2.737162470817566,0.3162808090551359,4,2.7084261178970337,0.3128623798691846,4,2.06667885184288,0.4825569975163452,4,4.491680979728699,0.6214316869179017,4,4.491680979728699,0.6214316869179017,4,4.453729152679443,0.617322578657728,4,2.430447399616241,0.656644861364398,4,10,10,4.581494927406311,4.5431588888168335,15.288508892059326,-1.9603633552085609,-1.9684483489566085,4.620730651527258
