dataset,method,combo_index,combo_tag,sweep__similarity__update_every,sweep__similarity__keep_epochs,sweep__regularization__l2,sweep__optim__lr,seed_mean,seed_std,seed_n,best_epoch_mean,best_epoch_std,best_epoch_n,best_test_loss_mean,best_test_loss_std,best_test_loss_n,time_train_mean,time_train_std,time_train_n,time_validation_mean,time_validation_std,time_validation_n,time_test_mean,time_test_std,time_test_n,time_ale_mean,time_ale_std,time_ale_n,time_similarity_mean,time_similarity_std,time_similarity_n,total_time_mean,total_time_std,total_time_n,train_loss_mean,train_loss_std,train_loss_n,train_rmse_mean,train_rmse_std,train_rmse_n,train_mae_mean,train_mae_std,train_mae_n,train_mape_mean,train_mape_std,train_mape_n,val_loss_mean,val_loss_std,val_loss_n,val_rmse_mean,val_rmse_std,val_rmse_n,val_mae_mean,val_mae_std,val_mae_n,val_mape_mean,val_mape_std,val_mape_n,test_loss_mean,test_loss_std,test_loss_n,test_rmse_mean,test_rmse_std,test_rmse_n,test_mae_mean,test_mae_std,test_mae_n,test_mape_mean,test_mape_std,test_mape_n
exchange,hard,2,optim-lr_1e-3,,,,0.001,4.5,3.027650354097492,10,92.6,33.32399869296734,10,0.4084707543253899,0.3932110994126285,10,39.71633174419403,10.89189224085561,10,3.797556900978088,1.0602803021598777,10,0.0326136589050293,0.0006821190798287,10,8.165836334228516e-05,2.1606754525751936e-05,10,5.981922149658203e-05,2.2835541272963574e-05,10,43.546643781661984,11.95190065852826,10,0.3130946280434727,0.4334421099852646,10,0.3130946280434727,0.4334421099852646,10,0.2746262593261365,0.4309769568059637,10,0.0714653047001255,0.1371624765441235,10,0.2917046740052423,0.3631834181791938,10,0.2917046740052423,0.3631834181791938,10,0.2512972103431821,0.3635748346482833,10,0.0738124660681933,0.1410900356043175,10,0.4084681780742747,0.3939465887953698,10,0.4084681780742747,0.3939465887953698,10,0.3423401149422196,0.3923401949584836,10,0.0759744491428136,0.1433203356808155,10
exchange,mmoe,2,optim-lr_1e-3,,,,0.001,4.5,3.027650354097492,10,119.6,30.18167214276461,10,0.2094410061836242,0.0378830398319491,10,64.8657949924469,13.182662428774828,10,5.361773371696472,1.0974571588433053,10,0.037846827507019,0.0005288193530205,10,0.0001020908355712,2.065126382409038e-05,10,6.897449493408203e-05,1.7203643968516767e-05,10,70.2655862569809,14.278248505046014,10,0.1612009110527911,0.005323844950135,10,0.1612009110527911,0.005323844950135,10,0.1198871382611936,0.0040537160424109,10,0.0062419365160167,0.0008520711669905,10,0.1567282721732876,0.0151371473980792,10,0.1567282721732876,0.0151371473980792,10,0.1083246831582593,0.0052877070275613,10,0.0064270824060908,0.0012952537814938,10,0.2116468557788591,0.0364505356717656,10,0.2116468557788591,0.0364505356717656,10,0.1454236366386924,0.0236362515647457,10,0.0065542940482763,0.0015245428166845,10
exchange,mtan,1,optim-lr_1e-2,,,,0.01,4.5,3.027650354097492,10,12.3,8.73117021557439,10,7.122931671142578,5.936531950582209,10,13.252824473381043,2.8430405309508124,10,1.2491519689559936,0.2681929163538402,10,0.0345676898956298,0.0008708815913074,10,2.663135528564453e-05,7.787569812373823e-06,10,1.6689300537109375e-05,4.57089864239642e-06,10,14.536587452888488,3.110785537537977,10,3.3812936259167534,5.317067250888604,10,3.3812936259167534,5.317067250888604,10,3.127335422219975,5.34065474493301,10,0.5042096560820937,0.7204537935107005,10,3.355584151617118,5.586022182923864,10,3.355584151617118,5.586022182923864,10,3.192564459411161,5.636205261951113,10,0.522225332153695,0.6604359169783784,10,7.02640658164663,5.911973681431992,10,7.02640658164663,5.911973681431992,10,6.9085596606401465,5.943930844819425,10,0.5644081904952014,0.6775579143198891,10
exchange,ple,1,optim-lr_1e-2,,,,0.01,4.5,3.027650354097492,10,38.4,11.413442367080435,10,0.5028953224420547,0.1224297090834021,10,31.044927978515624,5.297640219023339,10,2.3851898908615112,0.4093113803999844,10,0.0417659997940063,0.0027883463258265,10,4.410743713378906e-05,7.871424684152211e-06,10,3.0541419982910155e-05,6.028895155849812e-06,10,33.47195851802826,5.705970426855407,10,0.395896415937958,0.1397663777573106,10,0.395896415937958,0.1397663777573106,10,0.3007394127880357,0.1369761794904533,10,20.194703002846133,63.794992985771984,10,0.3378560136737568,0.1213660193796931,10,0.3378560136737568,0.1213660193796931,10,0.2454493615975869,0.1168534786577733,10,22.62960060186285,71.49677522407818,10,0.501624438944938,0.1232852049976842,10,0.501624438944938,0.1232852049976842,10,0.3931913517947708,0.1174493689379934,10,24.97043774062768,78.87316628692756,10
exchange,single_task_mlp,2,optim-lr_1e-3,,,,0.001,4.5,3.027650354097492,10,132.9,30.5121105282622,10,0.5222691565752029,0.3504546269228308,10,71.47245090007782,16.151757313841863,10,6.867768597602844,1.5221470216059507,10,0.04504976272583,0.0101223139779941,10,0.0001261472702026,2.5968649213326377e-05,10,8.695125579833984e-05,1.7231523089404723e-05,10,78.38548235893249,17.669435778410282,10,0.3271627462535564,0.3956666360447822,10,0.3271627462535564,0.3956666360447822,10,0.29043184534447,0.3919315474924833,10,0.076246196001635,0.0923971397494429,10,0.3169026744418911,0.3201950566195656,10,0.3169026744418911,0.3201950566195656,10,0.2741003870564912,0.3206446076530998,10,0.077808710373938,0.0908815944483631,10,0.516832581169105,0.3506681407244127,10,0.516832581169105,0.3506681407244127,10,0.4430557330804212,0.3512145601375513,10,0.0787973106439624,0.089438898084356,10
exchange,soft,1,optim-lr_1e-2,,,,0.01,4.5,3.027650354097492,10,54.5,22.979459426965544,10,0.2941494390368461,0.0596586560985924,10,40.36052219867706,11.339991115758416,10,3.541741800308228,1.0257179583217468,10,0.0648914337158203,0.0268342915715247,10,6.999969482421876e-05,2.265720914346469e-05,10,4.432201385498047e-05,1.303231322625122e-05,10,43.96726975440979,12.360196448295778,10,0.2156611819418945,0.0224753601926717,10,0.2156611819418945,0.0224753601926717,10,0.1654149878304451,0.0185290682654592,10,0.0107268928616706,0.0020952463254164,10,0.1792953527133379,0.010029820480149,10,0.1792953527133379,0.010029820480149,10,0.1370528179952608,0.007141272336123,10,0.0103439387067088,0.001239629268277,10,0.292915692067306,0.0556620450507786,10,0.292915692067306,0.0556620450507786,10,0.2296214169157402,0.0571613099220927,10,0.0141199536754616,0.0021437617982734,10
metrla,ale_frechet,2,optim-lr_1e-3__regularization-l2_0.01__similarity-keep_epochs_10__similarity-update_every_10,10.0,10.0,0.01,0.001,2.0,1.5811388300841898,5,25.6,7.231873892705818,5,14.872882461547851,0.1721415492453271,5,2943.6518092155457,1489.307535783672,5,159.62312517166137,85.1164974486113,5,3.4263325214385985,1.4632946112212386,5,1304.5017487049104,798.8502241412169,5,639.4811535358429,357.1976933027156,5,5050.684169149399,2709.6819884434985,5,13.821420133747342,0.220435107617451,5,13.821420133747342,0.220435107617451,5,8.863169730227927,0.2115730394794865,5,133702037.17922704,2916261.698144928,5,15.952164067162403,0.1676208134521971,5,15.952164067162403,0.1676208134521971,5,11.046157004637418,0.192807073072701,5,247602878.13816428,8724952.901977103,5,15.120652551697072,0.1762046288652083,5,15.120652551697072,0.1762046288652083,5,11.055477425211294,0.2796652584850755,5,292196265.92560387,13362501.975441378,5
metrla,crossstitch,1,optim-lr_1e-3,,,,0.001,2.0,1.5811388300841898,5,18.0,7.516648189186454,5,15.986247634887697,0.3980685512592204,5,50712.93274970054,11282.529125804522,5,583.3043978691101,148.26974528819534,5,13.707975387573242,3.689878931465621,5,4.515647888183594e-05,3.214612829714159e-05,5,2.617835998535156e-05,1.674744151633314e-05,5,51309.94519429207,11424.764247562098,5,10.605384153789943,1.879207923407885,5,10.605384153789943,1.879207923407885,5,6.951095081872987,1.4884787349937036,5,241000011.61352655,54067098.93541374,5,15.595288724484652,0.6090430536298747,5,15.595288724484652,0.6090430536298747,5,10.326629793471184,0.7502612885457678,5,302390120.1729469,14196946.893998075,5,16.244218478916924,0.4622977833406064,5,16.244218478916924,0.4622977833406064,5,11.550160305281192,0.3201909839523574,5,531424857.4782609,95113060.70736064,5
metrla,hard,1,optim-lr_1e-3,,,,0.001,2.0,1.5811388300841898,5,35.4,15.565988564816564,5,17.98723793029785,0.4435215820318526,5,2295.060333538056,1310.281442625497,5,147.08042917251586,91.95917870913873,5,2.4609539985656737,1.6105311550540862,5,6.008148193359375e-05,1.988259430928191e-05,5,4.4965744018554686e-05,1.923788271923261e-05,5,2444.601821756363,1403.31063648359,5,15.90177152513882,0.8268225640408001,5,15.90177152513882,0.8268225640408001,5,11.08832427430268,0.827832180218235,5,217549429.009058,60245427.312453344,5,18.445266888567797,0.5782685200301632,5,18.445266888567797,0.5782685200301632,5,13.476422751007448,0.6917720870560449,5,270972356.37729466,28781940.189473964,5,18.2708002878272,0.4751710640461537,5,18.2708002878272,0.4751710640461537,5,13.529769372709708,0.4041353528742707,5,429686424.5840579,119637353.49939635,5
metrla,mmoe,1,optim-lr_1e-3,,,,0.001,2.0,1.5811388300841898,5,27.4,5.128352561983234,5,14.37522258758545,0.5367384001773189,5,4751.56944308281,2703.405559737445,5,180.6985570430756,100.78634002639744,5,3.4245010375976563,1.6779317050234115,5,5.4788589477539065e-05,1.927021023216925e-05,5,3.590583801269531e-05,1.5716287983358826e-05,5,4935.69259185791,2805.522053019236,5,12.078786017007875,0.5221760491451444,5,12.078786017007875,0.5221760491451444,5,7.1764162872148605,0.5921493203550964,5,213069428.484058,26487290.77526706,5,14.828720764952582,0.4175545577476442,5,14.828720764952582,0.4175545577476442,5,9.526285383897129,0.4588932062292492,5,328131762.052657,29917187.57734055,5,14.662643925579276,0.5311986063330629,5,14.662643925579276,0.5311986063330629,5,9.869708950853578,0.5520551755200724,5,540006833.5705315,93374743.06745404,5
