dataset,method,combo_index,combo_tag,sweep__component_ablation__variant,sweep__component_ablation__random_seed,sweep__similarity__update_every,sweep__similarity__keep_epochs,sweep__regularization__l2,sweep__optim__lr,seed_mean,seed_std,seed_n,best_epoch_mean,best_epoch_std,best_epoch_n,best_test_loss_mean,best_test_loss_std,best_test_loss_n,time_train_mean,time_train_std,time_train_n,time_validation_mean,time_validation_std,time_validation_n,time_test_mean,time_test_std,time_test_n,time_ale_mean,time_ale_std,time_ale_n,time_similarity_mean,time_similarity_std,time_similarity_n,total_time_mean,total_time_std,total_time_n,train_loss_mean,train_loss_std,train_loss_n,train_rmse_mean,train_rmse_std,train_rmse_n,train_mae_mean,train_mae_std,train_mae_n,train_mape_mean,train_mape_std,train_mape_n,val_loss_mean,val_loss_std,val_loss_n,val_rmse_mean,val_rmse_std,val_rmse_n,val_mae_mean,val_mae_std,val_mae_n,val_mape_mean,val_mape_std,val_mape_n,test_loss_mean,test_loss_std,test_loss_n,test_rmse_mean,test_rmse_std,test_rmse_n,test_mae_mean,test_mae_std,test_mae_n,test_mape_mean,test_mape_std,test_mape_n,variant,variant_order,delta_test_rmse_pct_vs_full
multisine,ale_frechet,1,component_ablation-random_seed_0__component_ablation-variant_full__optim-lr_1e-3__regularization-l2_0.01__similarity-keep_epochs_5__similarity-update_every_10,full,0,10,5,0.01,0.001,2.0,1.5811388300841898,5,56.0,75.27283706623525,5,0.4665743708610534,0.0730588666075006,5,8.51147427558899,7.741436246899964,5,0.6516341686248779,0.5971706902065848,5,0.0170437812805175,0.0047239717088113,5,4.035596323013306,3.9139968297404737,5,0.7304528713226318,0.6800768928997744,5,13.946201419830322,12.930981265533337,5,0.5506241208314895,0.0578970269729581,5,0.5506241208314895,0.0578970269729581,5,0.412596549987793,0.084356659955717,5,0.8953065633773803,0.420247482492342,5,0.4852704906463622,0.0791523464263251,5,0.4852704906463622,0.0791523464263251,5,0.4609997147321701,0.0761679778703785,5,1.0033108255267142,0.3299028988721361,5,0.4665734757483005,0.0730798780272793,5,0.4665734757483005,0.0730798780272793,5,0.445630445331335,0.0722368472051667,5,1.6025807856023313,1.2367666157722006,5,full,0,0.0
multisine,ale_frechet,2,component_ablation-random_seed_0__component_ablation-variant_no_similarity__optim-lr_1e-3__regularization-l2_0.01__similarity-keep_epochs_5__similarity-update_every_10,no_similarity,0,10,5,0.01,0.001,2.0,1.5811388300841898,5,20.4,19.475625792256327,5,0.5012406468391418,0.0597137230319398,5,4.245751619338989,1.6683209217403678,5,0.323717451095581,0.1341857323232907,5,0.0144266128540039,0.0013269200274454,5,3.62396240234375e-05,1.4525934421279731e-05,5,6.780624389648437e-05,2.170827020703761e-05,5,4.583999729156494,1.8020435267609207,5,0.5589105063676835,0.0499159469854146,5,0.5589105063676835,0.0499159469854146,5,0.4310017222166061,0.0687579675986233,5,1.0299535620212557,0.4385697702356966,5,0.5005426217615604,0.0767101357261059,5,0.5005426217615604,0.0767101357261059,5,0.4769201318919658,0.0757599712600827,5,1.1609506790339947,0.3588536754699157,5,0.5012357357144357,0.0597547364137972,5,0.5012357357144357,0.0597547364137972,5,0.4821007578074932,0.0567023666646861,5,1.8576452451944352,0.9447766245861104,5,no_similarity,1,7.42911069056018
multisine,ale_frechet,3,component_ablation-random_seed_0__component_ablation-variant_random_graph__optim-lr_1e-3__regularization-l2_0.01__similarity-keep_epochs_5__similarity-update_every_10,random_graph,0,10,5,0.01,0.001,2.0,1.5811388300841898,5,19.8,24.03539057306954,5,0.499819791316986,0.0576276569223591,5,4.541844129562378,2.238244182476115,5,0.3361984252929687,0.1775434923815844,5,0.0147926807403564,0.0010873618087472,5,3.457069396972656e-05,1.767436019632876e-05,5,0.0002006530761718,0.0001007006811417,5,4.893070459365845,2.416723304547232,5,0.5479263335466384,0.0486243176572543,5,0.5479263335466384,0.0486243176572543,5,0.4168912500143051,0.0657644098805565,5,1.0002670025825502,0.3919250799013116,5,0.4833603619039059,0.045629685090172,5,0.4833603619039059,0.045629685090172,5,0.4606518958508968,0.0452053669938825,5,1.090226673781872,0.4257290538007553,5,0.4998115104436874,0.0576468436577183,5,0.4998115104436874,0.0576468436577183,5,0.4799827797710895,0.0552659299566124,5,1.9465390877425672,0.910656128611151,5,random_graph,2,7.123858603852055
polynomial,ale_frechet,1,component_ablation-random_seed_0__component_ablation-variant_full__optim-lr_1e-3__regularization-l2_0.01__similarity-keep_epochs_5__similarity-update_every_10,full,0,10,5,0.01,0.001,2.0,1.5811388300841898,5,7.4,1.816590212458495,5,4.690377712249756,0.6528398341076668,5,3.344758653640747,0.2050981189380248,5,0.2542744636535644,0.0173594723353628,5,0.0139360904693603,0.001748763453272,5,1.5774343490600586,0.0093842743023707,5,0.3063114643096923,0.0087594081773929,5,5.496715021133423,0.2281793279334404,5,1.9936190366744997,0.1257590441212625,5,1.9936190366744997,0.1257590441212625,5,1.4135012948513033,0.1309472151887808,5,0.653485038280487,0.127834014121735,5,2.8690666037797925,0.3934433849634508,5,2.8690666037797925,0.3934433849634508,5,2.8401329220831397,0.3916850439172659,5,0.5726736651360989,0.1006143922073561,5,4.690388116240501,0.6528844835603125,5,4.690388116240501,0.6528844835603125,5,4.652831318378448,0.6493122238184579,5,0.5727972063049673,0.100264298247235,5,full,0,0.0
polynomial,ale_frechet,2,component_ablation-random_seed_0__component_ablation-variant_no_similarity__optim-lr_1e-3__regularization-l2_0.01__similarity-keep_epochs_5__similarity-update_every_10,no_similarity,0,10,5,0.01,0.001,2.0,1.5811388300841898,5,26.8,30.293563672833216,5,4.661287307739258,0.6780591108280538,5,5.09588098526001,3.177796270689101,5,0.3889488220214844,0.2526398257938189,5,0.0171145915985107,0.0044115158719696,5,3.824234008789063e-05,2.1440843764950404e-05,5,7.548332214355469e-05,3.994226391647194e-05,5,5.502058124542236,3.434312634537271,5,1.989042627811432,0.1274782515629126,5,1.989042627811432,0.1274782515629126,5,1.400415017604828,0.1235409800079904,5,0.6189354264736175,0.063140262382497,5,2.860934588164091,0.3996751666359244,5,2.860934588164091,0.3996751666359244,5,2.8321824914217,0.3979236340363412,5,0.5756505342572927,0.1238066335323637,5,4.661244850605726,0.6781108984599205,5,4.661244850605726,0.6781108984599205,5,4.623144336640835,0.6750785754317032,5,0.572571125254035,0.1245054969561764,5,no_similarity,1,-0.6213401729777164
polynomial,ale_frechet,3,component_ablation-random_seed_0__component_ablation-variant_random_graph__optim-lr_1e-3__regularization-l2_0.01__similarity-keep_epochs_5__similarity-update_every_10,random_graph,0,10,5,0.01,0.001,2.0,1.5811388300841898,5,13.0,9.924716620639604,5,4.67000036239624,0.6827429878222061,5,4.001593589782715,0.8937362612033808,5,0.2935362339019775,0.0665020347456289,5,0.0166879653930664,0.0070674333556088,5,2.8896331787109376e-05,5.680669756928377e-06,5,0.000178050994873,4.4005960286356085e-05,5,4.312024736404419,0.9565908328667252,5,1.991767146587372,0.1282325512611105,5,1.991767146587372,0.1282325512611105,5,1.4085790371894835,0.1326885278896287,5,0.6733261287212372,0.1094733638637356,5,2.8628788538277155,0.4015057554004089,5,2.8628788538277155,0.4015057554004089,5,2.833868814408779,0.399804505061843,5,0.5961308474838733,0.098970632526187,5,4.669998048394918,0.6828031857858331,5,4.669998048394918,0.6828031857858331,5,4.631643114686012,0.6801322898578617,5,0.5954542651772499,0.1001030149028117,5,random_graph,2,-0.4347202692029372
